Unnamed: 0,Player Name,Base Price,Type,Cost in Rs. (CR),Cost in $ (K),2022 Squad,2023 Squad
0,Shivam Mavi,4000000,BOWLER,6,720,KKR,GT
0,Joshua Little,5000000,BOWLER,4.4,528,,GT
0,Kane Williamson,20000000,BATSMAN,2,240,SRH,GT
0,K.S. Bharat,2000000,WICKETKEEPER,1.2,144,DC,GT
0,Mohit Sharma,5000000,BOWLER,0.5,60,,GT
0,Odean Smith,5000000,ALL-ROUNDER,0.5,60,PBKS,GT
0,Urvil Patel,2000000,WICKETKEEPER,0.2,24,,GT
0,Rahul Tewatia,Retained,ALL-ROUNDER,0,0,GT,GT
0,Pradeep Sangwan,Retained,ALL-ROUNDER,0,0,GT,GT
0,Rashid Khan,Retained,BOWLER,0,0,GT,GT
0,R. Sai Kishore,Retained,BOWLER,0,0,GT,GT
0,Yash Dayal,Retained,BOWLER,0,0,GT,GT
0,Noor Ahmad,Retained,BOWLER,0,0,GT,GT
0,Wriddhiman Saha,Retained,WICKETKEEPER,0,0,GT,GT
0,Vijay Shankar,Retained,ALL-ROUNDER,0,0,GT,GT
0,Shubman Gill,Retained,BATSMAN,0,0,GT,GT
0,Hardik Pandya,Retained,ALL-ROUNDER,0,0,GT,GT
0,B. Sai Sudharsan,Retained,ALL-ROUNDER,0,0,GT,GT
0,Alzarri Joseph,Retained,BOWLER,0,0,GT,GT
0,Abhinav Sadarangani,Retained,BATSMAN,0,0,GT,GT
0,Darshan Nalkande,Retained,ALL-ROUNDER,0,0,GT,GT
0,David Miller,Retained,BATSMAN,0,0,GT,GT
0,Matthew Wade,Retained,WICKETKEEPER,0,0,GT,GT
0,Jayant Yadav,Retained,ALL-ROUNDER,0,0,GT,GT
0,Mohammad Shami,Retained,BOWLER,0,0,GT,GT
0,Ben Stokes,20000000,ALL-ROUNDER,16.25,1950,,CSK
0,Kyle Jamieson,10000000,BOWLER,1,120,,CSK
0,Nishant Sindhu,2000000,ALL-ROUNDER,0.6,72,,CSK
0,Ajinkya Rahane,5000000,BATSMAN,0.5,60,KKR,CSK
0,Bhagath Varma,2000000,ALL-ROUNDER,0.2,24,CSK,CSK
0,Ajay Mandal,2000000,ALL-ROUNDER,0.2,24,,CSK
0,Shaik Rasheed,2000000,BATSMAN,0.2,24,,CSK
0,Ravindra Jadeja,Retained,ALL-ROUNDER,0,0,CSK,CSK
0,Rajvardhan Hangargekar,Retained,ALL-ROUNDER,0,0,CSK,CSK
0,Prashant Solanki,Retained,BOWLER,0,0,CSK,CSK
0,Ruturaj Gaikwad,Retained,BATSMAN,0,0,CSK,CSK
0,Tushar Deshpande,Retained,BOWLER,0,0,CSK,CSK
0,Mukesh Choudhary,Retained,BOWLER,0,0,CSK,CSK
0,Subhranshu Senapati,Retained,BATSMAN,0,0,CSK,CSK
0,Simarjeet Singh,Retained,BOWLER,0,0,CSK,CSK
0,Shivam Dube,Retained,ALL-ROUNDER,0,0,CSK,CSK
0,Matheesha Pathirana,Retained,BOWLER,0,0,CSK,CSK
0,Devon Conway,Retained,BATSMAN,0,0,CSK,CSK
0,Deepak Chahar,Retained,BOWLER,0,0,CSK,CSK
0,Ambati Rayudu,Retained,BATSMAN,0,0,CSK,CSK
0,Dwaine Pretorius,Retained,ALL-ROUNDER,0,0,CSK,CSK
0,Maheesh Theekshana,Retained,BOWLER,0,0,CSK,CSK
0,Moeen Ali,Retained,ALL-ROUNDER,0,0,CSK,CSK
0,Mitchell Santner,Retained,ALL-ROUNDER,0,0,CSK,CSK
0,MS Dhoni,Retained,WICKETKEEPER,0,0,CSK,CSK
0,Mukesh Kumar,2000000,BOWLER,5.5,660,,DC
0,Rilee Rossouw,20000000,BATSMAN,4.6,552,,DC
0,Manish Pandey,10000000,BATSMAN,2.4,288,LSG,DC
