Unnamed: 0,Player Name,Base Price,Type,Cost in Rs. (CR),Cost in $ (K),2022 Squad,2023 Squad
0,Shivam Mavi,4000000,BOWLER,6,720,Kolkata Knight Riders,Gujrat Titans
0,Joshua Little,5000000,BOWLER,4.4,528,,Gujrat Titans
0,Kane Williamson,20000000,BATSMAN,2,240,Surisers Hyderabad,Gujrat Titans
0,K.S. Bharat,2000000,WICKETKEEPER,1.2,144,Delhi Capitals,Gujrat Titans
0,Mohit Sharma,5000000,BOWLER,0.5,60,,Gujrat Titans
0,Odean Smith,5000000,ALL-ROUNDER,0.5,60,Punjab Kings,Gujrat Titans
0,Urvil Patel,2000000,WICKETKEEPER,0.2,24,,Gujrat Titans
0,Rahul Tewatia,Retained,ALL-ROUNDER,0,0,Gujrat Titans,Gujrat Titans
0,Pradeep Sangwan,Retained,ALL-ROUNDER,0,0,Gujrat Titans,Gujrat Titans
0,Rashid Khan,Retained,BOWLER,0,0,Gujrat Titans,Gujrat Titans
0,R. Sai Kishore,Retained,BOWLER,0,0,Gujrat Titans,Gujrat Titans
0,Yash Dayal,Retained,BOWLER,0,0,Gujrat Titans,Gujrat Titans
0,Noor Ahmad,Retained,BOWLER,0,0,Gujrat Titans,Gujrat Titans
0,Wriddhiman Saha,Retained,WICKETKEEPER,0,0,Gujrat Titans,Gujrat Titans
0,Vijay Shankar,Retained,ALL-ROUNDER,0,0,Gujrat Titans,Gujrat Titans
0,Shubman Gill,Retained,BATSMAN,0,0,Gujrat Titans,Gujrat Titans
0,Hardik Pandya,Retained,ALL-ROUNDER,0,0,Gujrat Titans,Gujrat Titans
0,B. Sai Sudharsan,Retained,ALL-ROUNDER,0,0,Gujrat Titans,Gujrat Titans
0,Alzari Joseph,Retained,BOWLER,0,0,Gujrat Titans,Gujrat Titans
0,Abhinav Sadarangani,Retained,BATSMAN,0,0,Gujrat Titans,Gujrat Titans
0,Darshan Nalkande,Retained,ALL-ROUNDER,0,0,Gujrat Titans,Gujrat Titans
0,David Mumbai Indiansller,Retained,BATSMAN,0,0,Gujrat Titans,Gujrat Titans
0,Matthew Wade,Retained,WICKETKEEPER,0,0,Gujrat Titans,Gujrat Titans
0,Jayant Yadav,Retained,ALL-ROUNDER,0,0,Gujrat Titans,Gujrat Titans
0,Mohammad Shami,Retained,BOWLER,0,0,Gujrat Titans,Gujrat Titans
0,Ben Stokes,20000000,ALL-ROUNDER,16.25,1950,,Chennai Super Kings
0,Kyle Jameson,10000000,BOWLER,1,120,,Chennai Super Kings
0,Nishant Sindhu,2000000,ALL-ROUNDER,0.6,72,,Chennai Super Kings
0,Ajinkya Rahane,5000000,BATSMAN,0.5,60,Kolkata Knight Riders,Chennai Super Kings
0,Bhagath Varma,2000000,ALL-ROUNDER,0.2,24,Chennai Super Kings,Chennai Super Kings
0,Ajay Mandal,2000000,ALL-ROUNDER,0.2,24,,Chennai Super Kings
0,Shaik Rasheed,2000000,BATSMAN,0.2,24,,Chennai Super Kings
0,Ravindra Jadeja,Retained,ALL-ROUNDER,0,0,Chennai Super Kings,Chennai Super Kings
0,Rajvardhan Hangargekar,Retained,ALL-ROUNDER,0,0,Chennai Super Kings,Chennai Super Kings
0,Prashant Solanki,Retained,BOWLER,0,0,Chennai Super Kings,Chennai Super Kings
0,Ruturaj Gaikwad,Retained,BATSMAN,0,0,Chennai Super Kings,Chennai Super Kings
0,Tushar Deshpande,Retained,BOWLER,0,0,Chennai Super Kings,Chennai Super Kings
0,Mukesh Choudhary,Retained,BOWLER,0,0,Chennai Super Kings,Chennai Super Kings
0,Subhranshu Senapati,Retained,BATSMAN,0,0,Chennai Super Kings,Chennai Super Kings
0,Simarjeet Singh,Retained,BOWLER,0,0,Chennai Super Kings,Chennai Super Kings
0,Shivam Dube,Retained,ALL-ROUNDER,0,0,Chennai Super Kings,Chennai Super Kings
0,Matheesha Pathirana,Retained,BOWLER,0,0,Chennai Super Kings,Chennai Super Kings
0,Devon Conway,Retained,BATSMAN,0,0,Chennai Super Kings,Chennai Super Kings
0,Deepak Chahar,Retained,BOWLER,0,0,Chennai Super Kings,Chennai Super Kings
0,Ambati Rayudu,Retained,BATSMAN,0,0,Chennai Super Kings,Chennai Super Kings
0,Dwaine Pretorius,Retained,ALL-ROUNDER,0,0,Chennai Super Kings,Chennai Super Kings
0,Maheesh Theekshana,Retained,BOWLER,0,0,Chennai Super Kings,Chennai Super Kings
0,Moeen Ali,Retained,ALL-ROUNDER,0,0,Chennai Super Kings,Chennai Super Kings
0,Michell Santner,Retained,ALL-ROUNDER,0,0,Chennai Super Kings,Chennai Super Kings
0,MS Dhoni,Retained,WICKETKEEPER,0,0,Chennai Super Kings,Chennai Super Kings
0,Mukesh Kumar,2000000,BOWLER,5.5,660,,Delhi Capitals
0,Rilee Rossouw,20000000,BATSMAN,4.6,552,,Delhi Capitals
0,Manish Pandey,10000000,BATSMAN,2.4,288,Lucknow Super Giants,Delhi Capitals
0,Phil Salt,20000000,WICKETKEEPER,2,240,,Delhi Capitals
0,Ishant Sharma,5000000,BOWLER,0.5,60,,Delhi Capitals
0,Ripal Patel,Retained,ALL-ROUNDER,0,0,Delhi Capitals,Delhi Capitals
0,Pravin Dubey,Retained,ALL-ROUNDER,0,0,Delhi Capitals,Delhi Capitals
0,Rishabh Pant,Retained,WICKETKEEPER,0,0,Delhi Capitals,Delhi Capitals
0,Prithvi Shaw,Retained,BATSMAN,0,0,Delhi Capitals,Delhi Capitals
0,Syed Khaleel Ahmed,Retained,BOWLER,0,0,Delhi Capitals,Delhi Capitals
0,Yash Dhull,Retained,ALL-ROUNDER,0,0,Delhi Capitals,Delhi Capitals
0,Vicky Ostwal,Retained,ALL-ROUNDER,0,0,Delhi Capitals,Delhi Capitals
0,Mustafizur Rahman,Retained,BOWLER,0,0,Delhi Capitals,Delhi Capitals
0,Sarfaraz Khan,Retained,ALL-ROUNDER,0,0,Delhi Capitals,Delhi Capitals
0,Rovman Powell,Retained,BATSMAN,0,0,Delhi Capitals,Delhi Capitals
0,Lalit Yadav,Retained,ALL-ROUNDER,0,0,Delhi Capitals,Delhi Capitals
0,Axar Patel,Retained,ALL-ROUNDER,0,0,Delhi Capitals,Delhi Capitals
0,Anrich Nortje,Retained,BOWLER,0,0,Delhi Capitals,Delhi Capitals
0,Aman Khan (T),Retained,ALL-ROUNDER,0,0,Delhi Capitals,Delhi Capitals
0,Chetan Sakariya,Retained,BOWLER,0,0,Delhi Capitals,Delhi Capitals
0,David Warner,Retained,BATSMAN,0,0,Delhi Capitals,Delhi Capitals
0,Lungisani Ngidi,Retained,BOWLER,0,0,Delhi Capitals,Delhi Capitals
0,Kuldeep Yadav,Retained,BOWLER,0,0,Delhi Capitals,Delhi Capitals
0,Kamlesh Nagarkoti,Retained,ALL-ROUNDER,0,0,Delhi Capitals,Delhi Capitals
0,Michell Marsh,Retained,ALL-ROUNDER,0,0,Delhi Capitals,Delhi Capitals
0,Shakib Al Hasan,1500000,ALL-ROUNDER,1.5,180,,Kolkata Knight Riders
0,David Wiese,10000000,ALL-ROUNDER,1,120,,Kolkata Knight Riders
0,N. Jagadeesan,2000000,WICKETKEEPER,0.9,108,Chennai Super Kings,Kolkata Knight Riders
0,Vaibhav Arora,2000000,BOWLER,0.6,72,Punjab Kings,Kolkata Knight Riders
0,Litton Das,5000000,WICKETKEEPER,0.5,60,,Kolkata Knight Riders
0,Mandeep Singh,5000000,BATSMAN,0.5,60,Delhi Capitals,Kolkata Knight Riders
0,Kulwant Khejroliya,2000000,BOWLER,0.2,24,,Kolkata Knight Riders
0,Suyash Sharma,2000000,BOWLER,0.2,24,,Kolkata Knight Riders
0,Sunil Narine,Retained,BOWLER,0,0,Kolkata Knight Riders,Kolkata Knight Riders
0,Shreyas Iyer,Retained,BATSMAN,0,0,Kolkata Knight Riders,Kolkata Knight Riders
0,Tim Southee,Retained,BOWLER,0,0,Kolkata Knight Riders,Kolkata Knight Riders
0,Umesh Yadav,Retained,BOWLER,0,0,Kolkata Knight Riders,Kolkata Knight Riders
0,Varun Chakaravarthy,Retained,BOWLER,0,0,Kolkata Knight Riders,Kolkata Knight Riders
0,Shardul Thakur (T),Retained,BOWLER,0,0,Kolkata Knight Riders,Kolkata Knight Riders
0,Venkatesh Iyer,Retained,ALL-ROUNDER,0,0,Kolkata Knight Riders,Kolkata Knight Riders
0,Harshit Rana,Retained,BOWLER,0,0,Kolkata Knight Riders,Kolkata Knight Riders
0,Anukul Roy,Retained,ALL-ROUNDER,0,0,Kolkata Knight Riders,Kolkata Knight Riders
0,Andre Russell,Retained,ALL-ROUNDER,0,0,Kolkata Knight Riders,Kolkata Knight Riders
0,Lockie Ferguson (T),Retained,BOWLER,0,0,Kolkata Knight Riders,Kolkata Knight Riders
0,Nitish Rana,Retained,ALL-ROUNDER,0,0,Kolkata Knight Riders,Kolkata Knight Riders
0,Rahmanullah Gurbaz (T),Retained,WICKETKEEPER,0,0,Kolkata Knight Riders,Kolkata Knight Riders
0,Rinku Singh,Retained,BATSMAN,0,0,Kolkata Knight Riders,Kolkata Knight Riders
0,Sam Curan,20000000,ALL-ROUNDER,18.5,2220,,Punjab Kings
0,Sikandar Raza,5000000,ALL-ROUNDER,0.5,60,,Punjab Kings
0,Harpreet Bhatia,2000000,BATSMAN,0.4,48,,Punjab Kings
